pop,total
11965,1685761.59
15140,2034619.87
63556,46326302.01
54687,16198741.86
17584,3459273.95
11846,461492.03
7712,354500.0
16077,8076014.39
44195,9637059.32
7402,760472.75
14742,3001654.41
81581,11131255.35
75392,13130565.89
26600,7062368.38
10983,904627.83
21707,3332450.23
11759,2780757.5
7848,1583061.38
23537,5760190.56
24567,4996481.15
6318,776939.14
18313,6041206.68
61662,33826512.14
22715,7374543.19
22834,3663842.79
15069,1727088.59
36127,5802837.95
54315,13088634.66
32851,4522337.26
54680,9066206.85
50195,42347248.88
64147,5823948.36
27513,4698700.28
77484,20183162.77
17830,5511990.68
23011,2859766.95
18470,4276091.54
27008,2719056.97
18700,4586981.8
17763,4329268.79
72706,21241293.13
21041,1755472.54
10410,3154106.23
368918,56279554.02
25612,4931533.32
13112,441561.0
13608,2165773.1
20286,3525083.06
23340,2136087.5
75241,19360522.68
133913,47962171.36
18201,3822055.5
25121,7052232.41
9698,2746919.98
7254,1316850.12
55035,43413081.24
19330,1798097.54
24680,2289667.39
2703391,376085142.19
16776,5201184.34
14195,1854469.93
7767,619898.8
14415,2925014.0
55170,10774332.69
4784,1008360.0
11219,3369150.11
26508,4470944.78
40921,8365722.3
5073,541799.83
20126,4287592.3
69688,14043386.85
13385,2961952.11
25165,4208362.97
12730,2924765.25
20183,7382396.34
68303,11550750.6
103633,38725867.24
26196,6497992.1
11597,1369828.55
12507,1678739.01
42148,10655956.66
38064,4691934.67
14351,6295209.61
24450,5643046.47
7904,2234519.73
38661,91230842.45
53448,6368808.03
131687,14190238.93
20653,5590333.9
42595,5852924.93
22018,4762724.83
18133,9325308.26
11580,5709873.14
34592,11929352.77
33960,380220642.31
27187,9151112.52
8150,1436727.98
20351,50905885.0
278264,119602920.57
24949,7216693.01
31476,7597425.5
60232,22084063.53
20031,1730274.75
230986,121999069.33
131677,7380589.27
27822,11887434.19
11407,1734977.55
39341,3669597.18
48370,15979769.58
15309,871302.59
27413,3275154.97
13129,3951392.25
13965,1664708.77
35566,11300757.21
43917,10682762.26
17264,3473652.98
61590,19347818.65
8833,2102070.55
22830,2778184.66
14561,2319961.56
11056,1141492.0
15798,2812835.0
32487,3542165.14
28737,6204517.25
25958,3740977.55
21342,3754153.68
74145,5188811.09
85647,8671576.63
12313,1323466.66
6565,493444.0
9458,2535683.18
13553,974463.19
35526,6997563.26
33232,80207406.93
31391,4451985.26
12276,1547400.64
43359,8344540.68
9207,2613531.12
38045,15023506.11
16356,2791249.7
20964,1552106.99
17210,4239450.95
11052,1665153.3
12358,2006575.69
14920,6873850.74
11165,1945975.93
6455,3265682.53
21246,3432733.68
88899,14534624.36
16116,7650625.63
82455,27627859.17
22432,9914071.84
29238,1248537.37
18279,2634959.99
79550,12878703.67
15757,3555867.6
16714,3444511.35
43719,12237822.61
32851,4760284.69
17726,1997218.12
48354,12002576.84
49306,24080538.84
7557,462414.36
13086,497502.51
25418,3637064.34
7758,689784.0
212437,48747970.64
18389,11445476.78
32079,3050830.47
26199,4687674.28
8555,1280999.66
59259,8640192.83
19551,2536109.15
77111,18802659.58
56653,13683202.48
16588,1252918.0
35295,8891300.37
7740,1300985.94
19976,4668071.28
22223,1257360.15
13988,11982911.68
18520,2592361.39
41078,6802428.23
61916,13854784.36
